Animal,Age,Separation,NN red,NN green,NN mean,NN norm
Gmb389-1,0,516,17.4,60.9,39.2,0.39
Gmb389-2,0,342,60.1,33.9,47,0.47
Gmb390-1,0,642,80.7,24,52.4,0.52
Gmb390-2,0,768,70.5,31.7,51.1,0.51
gmb399-1,0,1151,73,37,55,0.55
gmb489-2,0,288,18.4,62.4,40.4,0.4
gmb489-3,0,708,28.3,57.7,43,0.43
gmb489-4,0,227,52.1,35.9,44,0.44
gmb774-2,0,576,50,15.4,32.7,0.33
gmb774-4,0,1520,51.2,25.9,38.6,0.39
gmb784-1,0,864,53.8,28.9,41.4,0.41
gmb784-2,0,1444,75.6,22.9,49.3,0.49
gmb377-1,2,595,19.1,64.1,41.6,0.42
gmb377-2,2,52,51,52.3,51.7,0.52
gmb377-3,2,61,42.7,61.3,52,0.52
Gmb389-4,2,54,45.1,54.2,49.7,0.5
gmb389-5,2,576,17.5,60,38.8,0.39
gmb389-6,2,1152,62,40.1,51.1,0.51
gmb390-5,2,864,56.2,15.7,36,0.36
Gmb805-1,2,1632,62.9,52.3,57.6,0.58
Gmb805-2,2,1728,75.3,29.2,52.3,0.52
gmb372-2,4,576,23.9,62.6,43.3,0.43
gmb425-1,4,307,55.6,52.3,54,0.54
gmb425-2,4,346,67,25.2,46.1,0.46
gmb425-3,4,576,15.4,74.8,45.1,0.45
gmb425-4,4,1171,53,60,56.5,0.57
gmb425-5,4,1536,60.2,40.4,50.3,0.5
gmb774-5,4,1830,63,42.1,52.6,0.53
gmb772-1,6,570,43.9,52.1,48,0.48
gmb772-2,6,1378,63.4,60.8,62.1,0.62
GMB772-4,6,1522,62.5,81.5,72,0.72
gmb772-5,6,1288,58,70,64,0.64
gmb774-7,6,44,26.6,56,41.3,0.41
gmb778-4,6,144,26.9,70.7,48.8,0.49
gmb793-1,6,384,52.9,28.8,40.9,0.41
gmb793-2,6,768,30.6,76.6,53.6,0.54
gmb793-3,6,480,71,27.9,49.5,0.49
gmb793-4,6,336,21.5,68,44.8,0.45
gmb793-5,6,480,37,48.6,42.8,0.43
gmb185-1,8,358,84.4,47.8,66.1,0.66
gmb185-2,8,300,52.8,59.2,56,0.56
gmb194-1,8,100,70.5,41.5,56,0.56
gmb194-2,8,150,62.8,40.6,51.7,0.52
gmb194-3,8,300,54.1,57.1,55.6,0.56
gmb194-4,8,150,54.7,44.5,49.6,0.5
gmb194-5,8,350,62.7,41.3,52,0.52
gmb194-6,8,150,59.4,40.9,50.2,0.5
gmb325-1,8,769,93.7,63.9,78.8,0.79
gmb325-2,8,325,52,59,55.5,0.56
gmb778-5,8,610,81.2,79.1,75,0.75
Gmb804-2,8,1152,83,88.8,85.9,0.86
Gmb804-3,8,1248,87.1,85.2,86.2,0.86
Gmb805-8,8,1556,91.2,98.1,94.7,0.95
gmb195-1,12,150,61.4,47.8,54.6,0.55
gmb195-2,12,250,48,69.2,58.6,0.59
gmb195-3,12,200,54,56.1,55.1,0.55
gmb195-4,12,250,53,61,57,0.57
gmb375-1,12,346,46.7,90.8,68.8,0.69
gmb375-2,12,677,91.4,92.8,92.1,0.92
gmb375-3,12,594,87.2,91.2,89.2,0.89
Gmb375-5,12,930,100,100,100,1
gmb195-5,22,161,40,58.1,49.1,0.49
gmb195-6,22,282,46.6,76.8,61.7,0.62
gmb499-1,22,192,15.2,74.7,45,0.45
gmb499-2,22,300,73.1,42,57.6,0.58
gmb195-7,22,170,50.4,42.8,46.6,0.47
gmb328-1,22,450,91.2,74.7,83,0.83
gmb328-2,22,500,81.3,92.1,86.7,0.87
Gmb809-1,22,672,86,88.7,87.4,0.87
Gmb809-2,22,768,100,100,100,1
Gmb809-3,22,1630,100,100,100,1
gmb303,60,202,72,52,62,0.62
gmb350,60,104,87.8,25.8,56.8,0.57
gmb497,60,584,91,96.2,93.6,0.94
gmb501,60,384,54.1,89.2,71.7,0.72
gmb503,60,270,16.9,79.3,48.1,0.48
gmb504,60,291,88.4,50.3,69.4,0.69
gmb526,60,192,65.2,27.6,46.4,0.46
gmb527,60,260,88.8,19.9,54.4,0.54
gmb528,60,668,97.3,97.8,97.5,0.97
gmb561,60,308,94.4,28.3,61.4,0.61
gmb562,60,186,44.1,39.6,41.9,0.42
gmb565,60,408,88.7,79,83.9,0.84
